vehicle_id,route_id,trip_id,stop_id,direction_id,current_status,current_stop_sequence,label,latitude,longitude,speed,bearing,updated_at
ynk345,Shuttle-Generic,BL-75565530,,,IN_TRANSIT_TO,,345,42.201848,-71.064761,,,2025-12-09 12:58:32+00:00
y1821,8,71467471,11592,0.0,IN_TRANSIT_TO,16.0,1821,42.335203,-71.090109,,150.0,2025-12-09 13:02:00+00:00
y0799,240,71988053,4155,0.0,STOPPED_AT,27.0,0799,42.241786,-71.069422,,179.0,2025-12-09 13:01:57+00:00
y3333,426,71826191,7390,1.0,IN_TRANSIT_TO,20.0,3333,42.456176,-70.990126,,,2025-12-09 13:01:37+00:00
y3203,556,71374017,7845,0.0,IN_TRANSIT_TO,23.0,3203,42.368632,-71.242149,,40.0,2025-12-09 13:01:57+00:00
y3152,110,71995164,5571,0.0,STOPPED_AT,11.0,3152,42.413388,-71.042845,,101.0,2025-12-09 13:01:57+00:00
y1707,41,72094424,1150,0.0,STOPPED_AT,19.0,1707,42.329359,-71.094168,,225.0,2025-12-09 13:01:57+00:00
y1798,19,71467430,568,1.0,STOPPED_AT,14.0,1798,42.308665,-71.082866,,,2025-12-09 13:01:46+00:00
y3293,8,71374475,62,1.0,IN_TRANSIT_TO,20.0,3293,42.332694,-71.080705,,,2025-12-09 13:01:39+00:00
y1960,100,71993333,8314,0.0,IN_TRANSIT_TO,14.0,1960,42.425536,-71.099511,,282.0,2025-12-09 13:01:56+00:00
y2097,64,71694382,1111,1.0,STOPPED_AT,12.0,2097,42.354122,-71.136303,,,2025-12-09 13:01:42+00:00
y3342,450,71826256,4490,1.0,IN_TRANSIT_TO,39.0,3342,42.457608,-70.971351,,227.0,2025-12-09 13:01:56+00:00
y1948,109,71994798,29004,1.0,IN_TRANSIT_TO,29.0,1948,42.38485,-71.07628,,225.0,2025-12-09 13:01:30+00:00
y3278,57,71375090,900,1.0,STOPPED_AT,1.0,3278,42.36389,-71.18514,,135.0,2025-12-09 13:01:29+00:00
y3227,501,71374673,71855,1.0,IN_TRANSIT_TO,15.0,3227,42.347625,-71.083006,,90.0,2025-12-09 13:01:51+00:00
y1919,708,71465500,77777,1.0,IN_TRANSIT_TO,5.0,1919,42.335078,-71.089785,,114.0,2025-12-09 13:02:00+00:00
y1994,109,71994421,15492,1.0,IN_TRANSIT_TO,17.0,1994,42.411042,-71.051881,,225.0,2025-12-09 13:01:52+00:00
y1434,430,71997555,9025,1.0,STOPPED_AT,39.0,1434,42.433677,-71.045848,,,2025-12-09 13:01:47+00:00
y1632,40,72093629,598,0.0,STOPPED_AT,4.0,1632,42.29299,-71.121293,,,2025-12-09 13:01:55+00:00
y3151,350,71694750,50940,1.0,IN_TRANSIT_TO,14.0,3151,42.488704,-71.201143,,,2025-12-09 13:01:40+00:00
dLF 958,714,71954224,71403,1.0,IN_TRANSIT_TO,2.0,LF 958,42.304379,-70.915317,,115.0,2025-12-09 13:01:58+00:00
