vehicle_id,route_id,trip_id,stop_id,direction_id,current_status,current_stop_sequence,label,latitude,longitude,speed,bearing,updated_at
y2010,101,71995292,5002,1.0,IN_TRANSIT_TO,15.0,2010,42.41851,-71.107393,,256.0,2025-12-09 04:18:51+00:00
y3333,435,71826423,4933,1.0,IN_TRANSIT_TO,25.0,3333,42.537514,-70.943392,,149.0,2025-12-09 04:18:48+00:00
y1821,44,71466753,11257,0.0,STOPPED_AT,2.0,1821,42.331133,-71.090253,,102.0,2025-12-09 04:18:52+00:00
y1259,39,72039738,178,0.0,STOPPED_AT,3.0,1259,42.349582,-71.076801,,318.0,2025-12-09 04:18:46+00:00
y1948,132,71993662,15985,0.0,STOPPED_AT,25.0,1948,42.477772,-71.100165,,4.0,2025-12-09 04:18:52+00:00
y1632,34E,72094637,48619,1.0,STOPPED_AT,29.0,1632,42.213447,-71.190071,,6.0,2025-12-09 04:18:51+00:00
y3151,89,71995294,5104,1.0,STOPPED_AT,1.0,3151,42.39666,-71.12183,,270.0,2025-12-09 04:18:01+00:00
y1340,741,72040599,17093,1.0,IN_TRANSIT_TO,3.0,1340,42.361186,-71.018184,,,2025-12-09 04:18:49+00:00
y1830,66,71465957,2565,0.0,IN_TRANSIT_TO,31.0,1830,42.370857,-71.121567,,32.0,2025-12-09 04:18:51+00:00
y2056,77,71694892,22661,1.0,IN_TRANSIT_TO,19.0,2056,42.402237,-71.137946,,138.0,2025-12-09 04:18:50+00:00
y2101,104,71994941,70961,1.0,IN_TRANSIT_TO,34.0,2101,42.38776,-71.02386,,90.0,2025-12-09 04:18:44+00:00
y3136,70,71696125,730,0.0,STOPPED_AT,1.0,3136,42.36182,-71.10061,,315.0,2025-12-09 04:17:53+00:00
y0906,240,71988109,4233,1.0,STOPPED_AT,1.0,0906,42.133704,-71.039812,,,2025-12-09 04:17:49+00:00
